t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
9.4,39349.5,5761,3688.35,0
9.4,39349.5,5761,3688.35,0
9.4,39349.5,5761,3688.35,0
9.4,39349.5,5761,3688.35,0
9.4,39349.5,5761,3688.35,0
9.4,39349.5,5761,3688.35,0
9.4,39349.5,5761,3688.35,0
9.4,39356.15,5762,3688.35,0
9.4,39366.8,5762,3688.35,0
9.4,39366.8,5762,3688.35,0
9.4,39366.8,5762,3688.35,0
9.4,39366.8,5762,3688.35,0
9.4,39366.8,5762,3688.35,0
9.4,39366.8,5762,3688.35,0
9.4,39367.66,5763,3688.35,0
9.4,39378.84,5765,3688.35,0
9.4,39391.92,5766,3688.35,0
9.4,39400.72,5766,3688.35,0
9.4,39414.01,5766,3688.35,0
9.5,39424.05,5768,3688.35,0
9.5,39424.27,5769,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.5,5770,3688.35,0
9.5,39424.55,5771,3688.35,0
9.5,39424.55,5771,3688.35,0
9.5,39424.57,5772,3688.35,0
9.5,39424.57,5772,3688.35,0
9.5,39424.57,5772,3688.35,0
9.5,39424.58,5773,3688.35,0
9.5,39424.61,5773,3688.35,0
9.5,39424.61,5773,3688.35,0
9.5,39424.61,5773,3688.35,0
9.5,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
9.6,39424.61,5773,3688.35,0
